year,winner,total,first,second
1824,draw: A Jackson; J Q Adams; W Crawford,261,84,99
1800,draw: T Jefferson; A Burr,138,73,73
1876,Rutherford B. Hayes,369,185,184
2000,George W. Bush,538,271,266
1796,John Adams,138,71,68
1916,Woodrow Wilson,531,277,254
2004,George W. Bush,538,286,251
1884,Grover Cleveland,401,219,182
1976,Jimmy Carter,538,297,240
1968,Richard Nixon,538,301,191
1848,Zachary Taylor,290,163,127
1960,John F. Kennedy,537,303,219
2016,Donald Trump,538,304,227
1948,Harry S. Truman,531,303,189
1836,Martin Van Buren,294,170,73
1880,James A. Garfield,369,214,155
1888,Benjamin Harrison,401,233,168
1856,James Buchanan,296,174,114
1812,James Madison,217,128,89
1860,Abraham Lincoln,303,180,72
1896,William McKinley,447,271,176
2012,Barack Obama,538,332,206
1844,James K. Polk,275,170,105
1892,Grover Cleveland,444,277,145
1900,William McKinley,447,292,155
1908,William Howard Taft,483,321,162
2008,Barack Obama,538,365,173
1828,Andrew Jackson,261,178,83
1992,Bill Clinton,538,370,168
1808,James Madison,175,122,47
1996,Bill Clinton,538,379,159
1904,Theodore Roosevelt,476,336,140
1924,Calvin Coolidge,531,382,136
1868,Ulysses S. Grant,294,214,80
1920,Warren G. Harding,531,404,127
1832,Andrew Jackson,286,219,49
1988,George H. W. Bush,538,426,111
1840,William Henry Harrison,294,234,60
1944,Franklin D. Roosevelt,531,432,99
1912,Woodrow Wilson,531,435,88
1872,Ulysses S. Grant,352,286,42
1952,Dwight D. Eisenhower,531,442,89
1928,Herbert Hoover,531,444,87
1816,James Monroe,217,183,34
1940,Franklin D. Roosevelt,531,449,82
1852,Franklin Pierce,296,254,42
1956,Dwight D. Eisenhower,531,457,73
1932,Franklin D. Roosevelt,531,472,59
1964,Lyndon B. Johnson,538,486,52
1980,Ronald Reagan,538,489,49
1864,Abraham Lincoln,233,212,21
1804,Thomas Jefferson,176,162,14
1972,Richard Nixon,538,520,17
1984,Ronald Reagan,538,525,13
1936,Franklin D. Roosevelt,531,523,8
1820,James Monroe,232,231,1
1792,George Washington,132,132,77
1789,George Washington,69,69,34
