Country,Muslim,countryPCT,worldPCT
Afghanistan,"29,047,100",99.8,1.8
Albania,"1,879,172",58.8,0.1
Algeria,"40,400,000",99,2.7
American Samoa,1000,0.1,0.1
Andorra,1000,0.1,0.1
Angola,"90,000",1.0,0.1
Anguilla,1000,0.3,0.1
Antigua and Barbuda,1000,0.6,0.1
Argentina,"784,000",2.5,0.1
Armenia,1000,0.1,0.1
Aruba,1000,0.4,0.1
Australia,"476,291",2.2,0.1
Austria,"573,876",6.8,0.1
Azerbaijan,"8,795,000",98.4,0.5
Bahamas,1000,0.1,0.1
Bahrain,"866,888",70.2,0.1
Bangladesh,"145,607,000",86.3,9.2
Barbados,"2,000",0.9,0.1
Belarus,"19,000",0.2,0.1
Belgium,"658,463",5.9,0.1
Belize,1000,0.1,0.1
Benin,"2,710,000",24.5,0.1
Bermuda,1000,0.8,0.1
Bhutan,"2,000",0.2 ,0.1
Bolivia,"2,000",0.1,0.1
Bosnia-Herzegovina,"1,790,454",50.7,0.1
Botswana,"8,000",0.4,0.1
Brazil,"204,000",0.1,0.1
British Virgin Islands,1000,1.2,0.1
Brunei,"295,000",67,0.1
Bulgaria,"577,000",7.8,0.1
Burkina Faso,"11,270,000",60.5,0.6
Burma (Myanmar),"2,237,495",2.3,0.1
Burundi,"250,000",2.2,0.1
Cambodia,"255,000",1.6,0.1
Cameroon,"4,940,000",20.9,0.2
Canada,"1,053,945 ",3.2,0.1
Cape Verde,"10,000",2,0.1
Cayman Islands,1000,0.2,0.1
Central African Republic,"403,000",15,0.1
Chad,"7,827,653",58,0.4
Chile,"2,894 ",0.03,0.1
China,"50,000,000",1.8,1.4
Cocos (Keeling) Islands,"1,000",80,0.1
Colombia,"80,000",0.1,0.1
Comoros,"785,000",98.3,0.1
Congo,"3,648,267",5,0.1
Cook Islands,1000,0.1,0.1
Costa Rica,1000,0.1,0.1
Croatia,"60,000",1.4,0.1
Cuba,"10,000",0.1,0.1
Cyprus,"273,000",22.7,0.1
Czech Republic,"10,500",0.1,0.1
Denmark,"230,000",4.1,0.1
Djibouti,"853,000",97.0,0.1
Dominica,1000,0.2,0.1
Dominican Republic,"2,000",0.1,0.1
Ecuador,"2,000",0.1,0.1
Egypt,"73,800,000",90,4.9
El Salvador,"2,000",0.1,0.1
Equatorial Guinea,"28,000",4.1,0.1
Eritrea,"1,909,000",50,0.1
Estonia,"1,508",0.1,0.1
Ethiopia,"25,037,646",34,1.8
Faroe Islands,1000,0.1,0.1
Falkland Islands,1000,0.1,0.1
Federated States of Micronesia,1000,0.1,0.1
Fiji,"54,000",6.3,0.1
Finland,"42,000",0.8,0.1
France,"5,020,000",7.5,0.3
French Guiana,"2,000",0.9,0.1
French Polynesia,1000,0.1,0.1
Gabon,"145,000",9.7,0.1
Gambia,"1,669,000",95.3,0.1
Georgia,"442,000",10.5,0.1
Germany,"4,700,000",5.7,0.2
Ghana,"4,914,000",18,0.2
Gibraltar,"1,000",4.0,0.1
Greece,"610,000",5.3,0.1
Greenland,1000,0.1,0.1
Grenada,1000,0.3,0.1
Guadeloupe,"2,000",0.4,0.1
Guam,1000,0.1,0.1
Guatemala,"1,000",0.1,0.1
Guinea,"8,693,000",84.2,0.5
Guinea Bissau,"705,000",50,0.1
Guyana,"55,000",7.2,0.1
Haiti,"2,000",0.1,0.1
Honduras,"11,000",0.1,0.1
Hong Kong,"220,000",3.1,0.1
Hungary,"5,579",0.3,0.1
Iceland,770,0.2,0.1
India,"172,000,000",14.2,10.9
Indonesia,"204,847,000",87.2,12.7
Iran,"74,819,000",99.7,4.6
Iraq,"31,108,000",98.9,1.9
Ireland,"70,158",1.1,0.1
Isle of Man,1000,0.2,0.1
Israel,"1,287,000",17.7,0.1
Italy,"2,220,000",3.7,0.1
Ivory Coast,"7,960,000",40,0.5
Jamaica,"1,000",0.1,0.1
Japan,"185,000",0.1,0.1
Jordan,"6,397,000",93.8,0.4
Kazakhstan,"8,887,000",70.2,0.5
Kenya,"2,868,000",10,0.2
Kiribati,1000,0.1,0.1
Kosovo,"1,584,000",95.6,0.1
Kuwait,"2,636,000",74.1,0.2
Kyrgyzstan,"4,927,000",88.8,0.3
Laos,"1,000",0.1,0.1
Latvia,"2,000",0.1,0.1
Lebanon,"2,542,000",59.7,0.2
Lesotho,"1,000",0.1,0.1
Liberia,"523,000",12.8,0.1
Libya,"6,325,000",96.6,0.4
Liechtenstein,"2,000",4.8,0.1
Lithuania,"3,000",0.1,0.1
Luxembourg,"11,000",2.3,0.1
Macau,1000,0.1,0.1
Macedonia,"500,000",33.3,0.1
Madagascar,"220,000",7,0.1
Malawi,"2,011,000",12.8,0.1
Malaysia,"17,139,000",61.4,1.1
Maldives,"309,000",100,0.1
Mali,"15,667,704",95,0.8
Malta,"1,000",0.2,0.1
Marshall Islands,1000,0.1,0.1
Martinique,1000,0.2,0.1
Mauritania,"4,171,633",100,0.2
Mauritius,"230,118",17.3,0.1
Mayotte,"197,000",98.8,0.1
Mexico,"111,000",0.1,0.1
Moldova,"15,000",0.4,0.1
Monaco,1000,0.5,0.1
Mongolia,"200,000",6,0.1
Montenegro,"118,477",19.11,0.1
Montserrat,1000,0.1,0.1
Morocco,"32,381,000",99,2.0
Mozambique,"5,340,000",22.8,0.3
Namibia,"9,000",0.4,0.1
Nauru,1000,0.1,0.1
Nepal,"1,253,000",4.2,0.1
Netherlands,"1,000,000",6,0.1
Netherlands Antilles,1000,0.2,0.1
New Caledonia,"7,000",2.8,0.1
New Zealand,"41,000",0.9,0.1
Nicaragua,"1,000",0.1,0.1
Niger,"19,502,214",98.3,1.0
Nigeria,"93,839,000",50,4.7
Niue,1000,0.1,0.1
North Korea,"3,000",0.1,0.1
Northern Mariana Islands,1000,0.7,0.1
Norway,"163,180 ",3.0,0.1
Oman,"2,547,000",87.7,0.2
Pakistan,"178,000,000",96.4,11.0
Palau,1000,0.1,0.1
Palestinian Territories,"4,298,000",97.5,0.3
Panama,"25,000",0.7,0.1
Papua New Guinea,"2,000",0.1,0.1
Paraguay,"1,000",0.1,0.1
Peru,1000,0.1,0.1
Philippines,"5,896,000",4.6,0.7
Poland,"20,000",0.1,0.1
Portugal,"65,000",0.6,0.1
Puerto Rico,"1,000",0.1,0.1
Qatar,"1,168,000",77.5,0.1
Republic of Congo,"77,736",1.6,0.1
Reunion,"35,000",4.2,0.1
Romania,"73,000",0.3,0.1
Russia,"9,400,000",6.5,1.0
Rwanda,"589,429",4.8,0.1
St. Helena,1000,0.1,0.1
St. Kitts and Nevis,1000,0.3,0.1
St. Lucia,1000,0.1,0.1
St. Pierre and Miquelon,1000,0.2,0.1
St. Vincent and the Grenadines,"2,000",1.7,0.1
Samoa,1000,0.1,0.1
San Marino,1000,0.1,0.1
São Tomé and Príncipe,1000,0.1,0.1
Saudi Arabia,"25,493,000",97.1,1.6
Senegal,"14,584,931",95.9,0.8
Serbia,"227,000",2.8,0.1
Seychelles,1000,1.1,0.1
Sierra Leone,"4,171,000",71.5,0.3
Singapore,"721,000",14.7,0.1
Slovakia,"10,866",0.2,0.1
Slovenia,"73,568",3.6,0.1
Solomon Islands,1000,0.1,0.1
Somalia,"9,231,000",98.9,0.6
South Africa,"654,064 ",1.5,0.1
South Korea,"35,000",0.1,0.1
South Sudan,"610,000",6.2,0.1
Spain,"1,887,906",4.1,0.1
Sri Lanka,"1,967,227",9.71,0.1
Sudan,"39,027,950",97.0,1.9
Suriname,"84,000",19.6,0.1
Swaziland,"129,230",10,0.1
Sweden,"500,000",5,0.1
Switzerland,"400,000",5,0.1
Syria,"20,895,000",90,1.3
Taiwan,"60,000",0.3,0.1
Tajikistan,"7,006,000",99.0,0.4
Tanzania,"19,426,814",35,0.8
Thailand,"3,952,000",5.8,0.2
Timor-Leste,"1,000",0.1,0.1
Togo,"827,000",20,0.1
Tokelau,1000,0.1,0.1
Tonga,1000,0.1,0.1
Trinidad and Tobago,"78,000",5.8,0.1
Tunisia,"11,190,000",99.8,0.6
Turkey,"74,660,000",98.6,4.6
Turkmenistan,"4,830,000",93.3,0.3
Turks and Caicos Islands,1000,0.1,0.1
Tuvalu,1000,0.1,0.1
Uganda,"5,030,000",12.0,0.3
Ukraine,"393,000",0.8,0.1
United Arab Emirates,"3,577,000",76.0,0.2
United Kingdom,"3,106,368",4.8,0.2
United States,"2,595,000",0.8,0.2
U.S. Virgin Islands,1000,0.1,0.1
Uruguay,1000,0.1,0.1
Uzbekistan,"26,833,000",96.5,1.7
Vanuatu,1000,0.1,0.1
Vatican City,0,0,0
Venezuela,"95,000",0.3,0.1
Vietnam,"71,200",0.2,0.1
Wallis and Futuna,1000,0.1,0.1
Western Sahara,"528,000",99.6,0.1
Yemen,"24,023,000",99.0,1.5
Zambia,"140,000",1,0.1
Zimbabwe,"488,656",3,0.1
